"","da","pa","qa","pg","qg","RMSE","AIC"
"390",0,3,3,2,1,0.0898632725829778,-3.31026154221187
"391",0,3,3,2,2,0.0899154651561401,-3.25325786117727
"392",0,3,3,2,3,0.0898712433417947,-3.31113080311774
"393",0,3,3,3,0,0.0896841520784992,-3.09933249081822
"394",0,3,3,3,1,0.0899526702512869,-3.25506748733685
"395",0,3,3,3,2,0.0898607783114385,-3.31043837244096
"396",0,3,4,0,1,0.0900695735335364,-2.8030472188975
"397",0,3,4,0,2,0.0901138522247913,-2.80294095566816
"398",0,3,4,0,3,0.0901134927341829,-2.80278265746405
"399",0,3,4,1,0,0.0899865080072235,-2.93948526358064
"400",0,3,4,1,1,0.0897274251091247,-3.31012629182896
"401",0,3,4,1,2,0.0898563511216323,-3.3100281693878
"402",0,3,4,1,3,0.0897211148726157,-3.31010327800486
"403",0,3,4,2,0,0.0901528832622556,-3.02012811478704
"404",0,3,4,2,1,0.0897136902007259,-3.30996663845683
"405",0,3,4,2,2,0.0897293457123479,-3.3102647328224
"406",0,3,4,2,3,0.0897623583066072,-3.31079301668926
"407",0,3,4,3,0,0.0900817529138548,-3.10029197592256
"408",0,3,4,3,1,0.0897303557604731,-3.30980845848827
"409",0,3,4,3,2,0.089735608425665,-3.31010708302652
"410",0,3,4,3,3,0.0897548939474981,-3.31113443367506
"411",0,3,5,0,1,0.0899558706021975,-2.80565118953793
"412",0,3,5,0,2,0.0900982832275231,-2.80280429961498
"413",0,3,5,0,3,0.089987233003509,-2.80301209746353
"414",0,3,5,1,0,0.0902259651752487,-2.94011396742578
"415",0,3,5,1,1,0.0899149718671132,-1.47534081257988
"416",0,3,5,1,2,0.0897092669173435,-3.3100547830221
"417",0,3,5,1,3,0.089719417316162,-3.3097660813574
"418",0,3,5,2,0,0.0897147670509389,-3.01853005478159
"419",0,3,5,2,1,0.0896943696933386,-3.30967353107034
"420",0,3,5,2,2,0.0896633931741199,-3.31019514888304
"421",0,3,5,2,3,0.0896814044919023,-3.31070310110314
"422",0,3,5,3,0,0.0900371021556394,-3.10029075635434
"423",0,3,5,3,1,0.089662519025655,-3.30971511022422
"424",0,3,5,3,2,0.0897063400888067,-3.31022448872774
"425",0,3,5,3,3,0.0897576348203538,-3.31121887319233
"426",0,3,6,0,1,0.0896038986460362,-2.80790010491431
"427",0,3,6,0,2,0.0900699193777825,-2.77669281809722
"428",0,3,6,0,3,0.0896039559399122,-2.80597780834668
"429",0,3,6,1,0,0.0902208636512557,-2.93997844360189
"430",0,3,6,1,1,0.0898437847657281,-3.30961572257154
"431",0,3,6,1,2,0.0898068224348298,-3.30953288625831
"432",0,3,6,1,3,0.0898075139244568,-3.30964369510408
"433",0,3,6,2,0,0.0899275479146436,-2.99241791188061
"434",0,3,6,2,1,0.0897634902594796,-3.28306632199857
"435",0,3,6,2,2,0.0898416381118588,-3.30978099214454
"436",0,3,6,2,3,0.08984910226441,-3.31031277962283
"437",0,3,6,3,0,0.0899700084204738,-2.81761105605892
"438",0,3,6,3,1,0.0898052726429923,-3.30934195804006
"439",0,3,6,3,2,0.0898362679561645,-3.30962146081428
"440",0,3,6,3,3,0.0898553013913185,-3.28374570892733
"441",0,3,7,0,1,0.0899481644001831,-2.80295310602158
"442",0,3,7,0,2,0.0899468714532366,-2.80619687846149
"443",0,3,7,0,3,0.0899513881470933,-2.80781990812137
"444",0,3,7,1,0,0.0900147419359236,-2.93989241970535
"445",0,3,7,1,1,0.0902090130989641,-3.30993914346437
"446",0,3,7,1,2,0.0898040093097223,-3.30918873187065
"447",0,3,7,1,3,0.0898163867668211,-3.3092896152417
"448",0,3,7,2,0,0.090212266416545,-3.0196479185631
"449",0,3,7,2,1,0.0898271516304096,-3.30915911752172
"450",0,3,7,2,2,0.0898868314423535,-3.31002171512197
